TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
PJAA,3,PEMERINTA1H DAERAH DKI JAKARTA,91.7%,8.29% ⚠️
TDPM,9,DH CORPORATION LTD,94.2%,8.29% ⚠️
KOPI,5,PT. Mulya Tara Mandiri,93.2%,8.31% ⚠️
CCSI,6,COMMUNICATION CABLE SYSTEMS INDONESIA TbkGRAHATAMA KREASIBARU,91.7%,8.33% ⚠️
BNBA,4,PT TAKJUB FINANSIAL TEKNOLOGI,91.7%,8.35% ⚠️
AKPI,14,TIARA INTIMAHKOTA,97.5%,8.37% ⚠️
MYTX,3,INDAH JAYA INVESTAMA PT,93.6%,8.40% ⚠️
BKSW,3,QATAR NATIONAL BANK Q.P.S.C.,95.6%,8.43% ⚠️
AMAG,5,FAIRFAX ASIA LIMITED,96.8%,8.48% ⚠️
AGRS,2,INDUSTRIAL BANK OF KOREA,94.5%,8.51% ⚠️
IDPR,5,MANUEL DJUNAKO,94.5%,8.51% ⚠️
TRJA,4,PT SAMINDO RESOURCES TBK,92.4%,8.63% ⚠️
CSRA,7,PT. VERDAN SAWIT LESTARI,93.3%,8.65% ⚠️
SHID,6,PT EMPU SAHID INTERNATIONAL,97.6%,8.73% ⚠️
NZIA,7,RICHARD RACHMADI WIRIAHARDJA,94.3%,8.74% ⚠️
CINT,13,PT.TRITIRTA INTI MANDIRI,93.2%,8.75% ⚠️
YUPI,6,CONFECTIONERY CONSUMER PRODUCTS INDONESIA,98.9%,8.81% ⚠️
ACST,1,PT. KARYA SUPRA PERKASA,91.2%,8.83% ⚠️
MTSM,11,PT YAKIN WISKON,94.8%,8.83% ⚠️
TOTO,5,TOTO LIMITED,91.2%,8.83% ⚠️
MGNA,13,PT Bhuwanatala Indah Permai Tbk,95.0%,8.88% ⚠️
CDIA,3,PT CHANDRA ASRI PACIFIC TBK,91.0%,9.00% ⚠️
BBMD,6,MESTIKA BENUA MAS,98.3%,9.07% ⚠️
JRPT,8,PT. PEMBANGUNAN JAYA,93.0%,9.13% ⚠️
BLES,5,GLOBAL BASE UNIVERSAL,92.3%,9.19% ⚠️
ETWA,6,PT MORDRED INVESTAMA INDONESIA,90.8%,9.19% ⚠️
BOAT,6,SUJAYA SOEKARNO PUTRA,90.8%,9.20% ⚠️
SGRO,7,AGPA PTE. LTD.,90.8%,9.23% ⚠️
BSSR,4,PT WAHANA SENTOSA CEMERLANG,90.7%,9.26% ⚠️
RMKE,11,PT RMK INVESTAMA,90.7%,9.26% ⚠️
BELL,3,PT TRISULA INTERNATIONAL TBK,90.7%,9.27% ⚠️
IPAC,3,APAC INVESTMENT 2 PTE LTD,98.1%,9.40% ⚠️
KLIN,4,PT. SAMICO CAPITAL UTAMA MULIA,93.1%,9.42% ⚠️
RELI,6,"RELIANCE CAPITAL MANAGEMENT, PT",97.7%,9.45% ⚠️
GOLD,7,"PT TOWER BERSAMA INFRASTRUCTURE, TBK, PT",98.5%,9.50% ⚠️
INDS,3,INDOPRIMA GEMILANG,95.4%,9.50% ⚠️
TSPC,1,PT. BOGAMULIA NAGADI,90.5%,9.50% ⚠️
VICI,6,PT. SUKSES SEJATI SEJAHTERA,95.1%,9.52% ⚠️
MLBI,2,HEINEKEN INTERNATIONAL B.V,90.4%,9.60% ⚠️
MASB,10,DANABINA SENTANA,94.9%,9.61% ⚠️
MKTR,8,FUAD HASAN MASYHUR,96.9%,9.69% ⚠️
BREN,4,PT Barito Pacific Tbk,93.6%,9.76% ⚠️
SKBM,11,TAEL TWO PARTNERS LTD,91.7%,9.79% ⚠️
AMAN,7,PT GRIYA PRIMA AMANDA (GPA),97.8%,9.80% ⚠️
CNTX,6,SERI A PREFEREN PT PROSPECT MOTOR,92.7%,9.87% ⚠️
WIKA,1,PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,90.1%,9.89% ⚠️
INPC,28,PT CAKRA INTI UTAMA,93.3%,9.90% ⚠️
BRIS,4,PT BANK MANDIRI,91.3%,9.91% ⚠️
INPP,7,GRAHATAMA KREASIBARU,96.5%,9.91% ⚠️
BSBK,5,CLARISSA ADY SUMASTO TJIA,90.0%,9.96% ⚠️
ADCP,1,ADHI KARYA PERSERO TBK PT.,90.0%,10.00% ⚠️
MERK,5,MERCK HOLDING GMBH,92.5%,10.01% ⚠️
BSIM,15,PT SINAR MAS MULTIARTHA Tbk,95.0%,10.05% ⚠️
CASA,13,PT CAPITAL STRATEGIC INVESCO,89.9%,10.07% ⚠️
CAMP,5,SABANA PRAWIRA WIDJAJA,95.0%,10.08% ⚠️
ZYRX,7,TIMOTHY SIDDIK SHU,91.0%,10.16% ⚠️
KAEF,2,PT BIO FARMA (Persero),94.3%,10.18% ⚠️
BDKR,12,TAN JOHN TANUWIJAYA,96.0%,10.22% ⚠️
PTPW,6,ANDREAS WIDHATAMA KURNIAWAN,89.8%,10.24% ⚠️
ASBI,8,PT SRIHANA UTAMA,94.6%,10.27% ⚠️
MKAP,5,PT. INTERNATIONAL SAWO RESOURCES,92.1%,10.28% ⚠️
PALM,6,PT PROVIDENT CAPITAL INDONESIA,97.5%,10.28% ⚠️
BMSR,11,Chance Stand Finance Limited,94.0%,10.30% ⚠️
TIRA,7,PT WIDJAJATUNGGAL SEJAHTERA,95.5%,10.37% ⚠️
MEGA,12,PT MEGA CORPORA,98.4%,10.40% ⚠️
ASDM,7,"EQUITY DEVELOPMENT INVESTMENT, PT.",93.4%,10.44% ⚠️
BBSS,6,AGUNG ALAM ANUGRAH PT,94.6%,10.48% ⚠️
PUDP,11,PT. ISTANA KUTA RATU PRESTIGE,91.3%,10.51% ⚠️
